Personen/Institute,institution,type of relation,source
Patrick Moore,Pro-Lausitz Braunkohle,Hielt bei einer Veranstaltung Vortrag,https://www.pro-lausitz.de/index.php/aktuelle_nachrichten/items/greenpeace-gruender-patrick-moore-zu-besuch-in-der-lausitz.html
Holger Thuss,EIKE,Präsident des Instituts ist der Verleger Dr. Holger Thuss aus Jena,https://www.eike-klima-energie.eu/ueber-uns/
Holger Thuss,CFACT Europe,"Vorsitzender, der Verein ist unter der gleichen Adresse wie EIKE gemeldet",https://web.archive.org/web/20090330005622/http://www.cfact.org/site/board.asp
Lord Monckton,International Climate Science Coalition,Beirat,http://www.climatescienceinternational.org/index.php?option=com_content&view=article&id=280
Lord Monckton,CFACT,,http://www.cfact.org/about/cfact-board-of-advisors/
Roger Helmer,,"""He was the Member of the European Parliament (MEP) for the East Midlands region, and was the Head of Delegation for the UK Independence Party (UKIP)""",http://www.europarl.europa.eu/meps/de/4516/ROGER_HELMER/history/8
Roger Helmer,CFACT,MEP (UKIP),http://www.cfact.org/about/cfact-board-of-advisors/
Gerd Rainer,Gesamtverband der. Dt. Steinkohle Bergbau,ehemals?,http://www.zukunftssalon.de/content/data/2007/Lebenslauf-Weber.pdf
Gerd Rainer,CFACT,,http://www.cfact.org/about/cfact-board-of-advisors/
Hardy Bouillon,CFACT,,http://www.cfact.org/about/cfact-board-of-advisors/
Hardy Bouillon,New direction Foundation,former debuty director,http://www.publicpartners.de/english/
Hardy Bouillon,Institut für unternehmerische Freiheit (IuF),Wissenschaftlicher Beirat,https://iuf-berlin.com/wissenschaftlicher-beirat/
Hardy Bouillon,Mont Pelerin Society,Mitglied,https://www.liechtenstein-academy.com/experts/bouillon-hardy-prof/
Charles B. Blankart,Mont Pelerin Society,Mitglied,https://de.wikipedia.org/wiki/Charles_B._Blankart
Charles B. Blankart,Wissenschaftlicher Beirat des Wirtschaftsministeriums,Mitglied,https://www.bmwi.de/Redaktion/DE/Textsammlungen/Ministerium/wissenschaftlicher-beirat-expertise.html
Charles B. Blankart,Hayek-Gesellschaft,Kuratoriumsmitglied,https://hayek.de/hayek-gesellschaft/vorstand/
Thomas Straubhaar,INSM,Botschafter,https://www.insm.de/insm/ueber-die-insm/Kuratoren-und-Botschafter.html
Thomas Straubhaar,Naumann Stiftung,Kuratoriumsmitglied,https://www.freiheit.org/kuratorium
Thomas Straubhaar,Institut für unternehmerische Freiheit (IuF),Wissenschaftlicher Beirat,https://iuf-berlin.com/wissenschaftlicher-beirat/
Charles B. Blankart,Institut für unternehmerische Freiheit (IuF),Vorstandmitglied,https://iuf-berlin.com/vorstand/
Walter Klitz,Institut für unternehmerische Freiheit (IuF),,https://iuf-berlin.com/wissenschaftlicher-beirat/
Walter Klitz,Naumann Stiftung,Büroleiter Jerusalem (ehemals?),https://www.planet-wissen.de/kultur/medien/krisenberichterstattung/pwieinterviewwalterklitz100.html
Wolfgang Müller,Institut für unternehmerische Freiheit (IuF),Vorstandmitglied,https://iuf-berlin.com/vorstand/
Wolfgang Müller,EIKE,Generalsekretär EIKE,https://www.eike-klima-energie.eu/12-konferenz/programm/
Wolfgang Müller,Mont Pelerin Society,Laut LobbyControl ist er Mitglied,https://lobbypedia.de/wiki/Mont_Pelerin_Society
Michael Limburg,EIKE,Vizepräsident EIKE,https://www.rbb-online.de/kontraste/archiv/kontraste-vom-18-01-2018/klimaleugner-aus-der-nische-in-den-bundestag.html
Michael Limburg,AfD,Listenplatz 10  Landesliste Brandenburg zur Bundestagswahl 2017,https://www.afd.de/person/ing-michael-limburg/
Michael Limburg,International Climate Science Coalition,Beiratsmitglied,http://www.climatescienceinternational.org/index.php?option=com_content&view=article&id=280
Niels Axel Mörner,International Climate Science Coalition,Beiratsmitglied,http://www.climatescienceinternational.org/index.php?option=com_content&view=article&id=280
Niels Axel Mörner,EIKE,Beiratsmitglied,https://www.eike-klima-energie.eu/ueber-uns/fachbeirat/
Niels Axel Mörner,Co2-Coalition,Co2-Coalition finanziert Mörner,Das sagte er in einem Interview mit Susanne Götze
Jay H. Lehr,Heartland Institut,Science-Director,https://www.heartland.org/about-us/who-we-are/jay-lehr-phd
Sebastian Lüning,uk,,http://kaltesonne.de/
Sebastian Lüning,Geologist at Galp (oil),,https://de.wikipedia.org/wiki/Sebastian_L%C3%BCning
Sebastian Lüning,EIKE,Hilet Vortrag bei EIKE,https://www.youtube.com/watch?v=XCltWTbwzzU
Sebastian Lüning,Heartland Institut,Hielt Vortrag bei Heartland,https://www.youtube.com/watch?v=cmp2ifep_oo
Frank Schäffler,Prometheus Institut,Geschäftsführer,https://prometheusinstitut.de/uber-uns/
Frank Schäffler,MdB FDP,,https://www.bundestag.de/abgeordnete/biografien/S/-/523178
Hayek Gesellschaft,Atlas Netwerk,Mitglied,https://www.atlasnetwork.org/partners/global-directory/europe-and-central-asia/germany
Prometheus Institut,Atlas Netwerk,Mitglied,https://www.atlasnetwork.org/partners/global-directory/europe-and-central-asia/germany
Heartland Institute,Atlas Netwerk,Mitglied,https://www.atlasnetwork.org/partners/global-directory/heartland-institute
EIKE,Heartland Institute,Heartland co-finanziert EIKE Veranstaltungen? Wurde das mitgeschnitten?,https://www.youtube.com/watch?v=nodcXr1erTc
Patrick Moore,C02-Coalition,CO2 COALITION BOARD OF DIRECTORS,https://co2coalition.org/about/
Marc Morano,CFACT,Director of Communications,http://www.cfact.org/about/
Marc Morano,Heartland Institut,,https://www.heartland.org/about-us/who-we-are/marc-morano
Jay H. Lehr,International Climate Science Coalition, Advisory Board,http://www.climatescienceinternational.org/index.php?option=com_content&view=article&id=280
Marc Morano,Climate Depot,A project of CFACT,http://www.climatedepot.com/
Fritz Vahrenholt,Wildtierstiftung,Vorstand,https://www.deutschewildtierstiftung.de/ueber-uns/menschen
Sebastian Lüning,„Die kalte Sonne: warum die Klimakatastrophe nicht stattfindet“,,https://www.klimafakten.de/meldung/wie-redlich-ist-vahrenholts-buch-die-kalte-sonne
Fritz Vahrenholt,„Die kalte Sonne: warum die Klimakatastrophe nicht stattfindet“,,https://www.klimafakten.de/meldung/wie-redlich-ist-vahrenholts-buch-die-kalte-sonne
