org,org_country,continent,org_conviction,indiv,national,international,non_continental,continental,conenctivity_%,individuals with connections
american council on science and health,usa,north america,unconvinced of agw,362,20,9,20,9,8,29
ludwig von mises institute,usa,north america,unconvinced of agw,249,51,60,52,59,44.6,111
scholars for 9/11 truth,usa,north america,,212,3,0,3,0,1.4,3
council for national policy,usa,north america,unconvinced of agw,211,67,3,67,3,33.200000000000003,70
clexit,usa,north america,unconvinced of agw,190,27,33,29,31,31.6,60
jason,usa,north america,,183,2,0,2,0,1.1000000000000001,2
wirtschaftsclub nordoberpfalz,germany,europe,unconvinced of agw,170,1,1,1,1,1.2,2
tobacco institute,usa,north america,,152,29,6,30,5,23,35
principia scientific international,usa,north america,unconvinced of agw,108,17,13,17,13,27.8,30
alternative für deutschland,germany,europe,,108,5,6,10,1,10.199999999999999,11
center for strategic and international studies,usa,north america,,108,0,3,0,3,2.8,3
mont pelerin society,global,global,,106,0,122,0,122,115.1,122
doctors for disaster preparedness,usa,north america,unconvinced of agw,105,38,3,39,2,39,41
manhattan institute for policy research,usa,north america,unconvinced of agw,103,21,5,22,4,25.2,26
washington policy center,usa,north america,unconvinced of agw,98,4,0,4,0,4.1000000000000014,4
institute of economic affairs,uk,europe,unconvinced of agw,93,26,65,48,43,97.8,91
americans for prosperity,usa,north america,unconvinced of agw,93,7,0,7,0,7.5,7
young americas foundation,usa,north america,,90,27,0,27,0,30,27
claremont institute,usa,north america,unconvinced of agw,86,29,2,29,2,36,31
institute for humane studies,usa,north america,unconvinced of agw,85,22,21,22,21,50.6,43
john birch society,usa,north america,unconvinced of agw,81,7,0,7,0,8.6,7
national association of scholars,usa,north america,unconvinced of agw,72,19,0,19,0,26.4,19
ashbrook center for public affairs,usa,north america,unconvinced of agw,68,22,3,22,3,36.799999999999997,25
center of the american experiment,usa,north america,unconvinced of agw,66,17,3,17,3,30.3,20
ayn rand center,usa,north america,unconvinced of agw,66,1,0,1,0,1.5,1
australians for northern development and economic vision,australia,oceania,unconvinced of agw,63,4,9,4,9,20.6,13
virginia institute for public policy,usa,north america,unconvinced of agw,62,49,9,50,8,93.5,58
initiative neue soziale marktwirtschaft,germany,europe,,62,6,1,7,0,11.3,7
ecipe,belgium,europe,,59,0,18,6,12,30.5,18
atlantic institute for market studies,canada,north america,,56,6,2,6,2,14.3,8
foundation for economic education,usa,north america,unconvinced of agw,55,16,9,16,9,45.5,25
federalist society for law and public policy studies,usa,north america,unconvinced of agw,55,11,1,11,1,21.8,12
arise,usa,north america,,54,3,8,3,8,20.399999999999999,11
centre for european policy studies,europe,europe,convinced of agw,54,0,0,0,0,0,0
goldwater institute,usa,north america,unconvinced of agw,53,26,6,27,5,60.4,32
oklahoma council of public affairs,usa,north america,unconvinced of agw,53,6,0,6,0,11.3,6
american legislative exchange council,usa,north america,unconvinced of agw,52,15,2,15,2,32.700000000000003,17
independent womens forum,usa,north america,,52,10,0,10,0,19.2,10
center for security policy,usa,north america,unconvinced of agw,52,4,1,4,1,9.6,5
european policy centre,belgium,europe,unconvinced of agw,52,3,1,4,0,7.7,4
ib%c3%a9rica 2000,unknown,unknown,,52,0,1,0,1,1.9,1
washington legal foundation,usa,north america,unconvinced of agw,50,7,0,7,0,14,7
tobacco industry research committee,usa,north america,,50,0,1,0,1,2,1
sense about science,uk,europe,,49,7,2,7,2,18.399999999999999,9
the carbon sense coalition,usa,north america,unconvinced of agw,48,5,8,5,8,27.1,13
eike,germany,europe,unconvinced of agw,47,10,17,14,13,57.4,27
the freedom association,uk,europe,unconvinced of agw,46,14,3,15,2,37,17
consumer alert,usa,north america,unconvinced of agw,45,27,4,27,4,68.899999999999991,31
icrei,switzerland,europe,,45,0,28,6,22,62.2,28
montreal economic institute,canada,north america,unconvinced of agw,45,1,18,7,12,42.2,19
leadership institute,usa,north america,unconvinced of agw,44,13,0,13,0,29.5,13
wir,germany,europe,unconvinced of agw,44,0,8,5,3,18.2,8
post carbon institute,usa,north america,convinced of agw,44,2,1,2,1,6.8000000000000007,3
the american conservative union foundation,usa,north america,unconvinced of agw,43,18,0,18,0,41.9,18
freedom foundation,usa,north america,unconvinced of agw,43,8,0,8,0,18.600000000000001,8
philadelphia society,usa,north america,unconvinced of agw,41,44,11,44,11,134.1,55
the cobden centre,uk,europe,unconvinced of agw,41,9,22,21,10,75.599999999999994,31
property and environment research center,usa,north america,unconvinced of agw,41,19,5,19,5,58.5,24
freedom organisation for the right to enjoy smoking tobacco,uk,europe,,41,17,5,18,4,53.7,22
philanthropy roundtable,usa,north america,unconvinced of agw,41,9,2,9,2,26.8,11
frontier centre for public policy,canada,north america,unconvinced of agw,40,4,13,7,10,42.5,17
sound science in public policy,unknown,unknown,unconvinced of agw,40,0,11,0,11,27.5,11
michigan climate action council,usa,north america,convinced of agw,40,0,0,0,0,0,0
american environmental coalition,usa,north america,unconvinced of agw,39,24,0,24,0,61.5,24
freedomworks,usa,north america,unconvinced of agw,39,14,0,14,0,35.9,14
tno,netherlands,europe,,39,2,5,5,2,17.899999999999999,7
family research council,usa,north america,unconvinced of agw,39,2,0,2,0,5.0999999999999996,2
americans future foundation,usa,north america,,38,32,7,32,7,102.6,39
american council for capital formation,usa,north america,unconvinced of agw,38,13,1,13,1,36.799999999999997,14
friends of science,canada,north america,unconvinced of agw,38,2,11,9,4,34.200000000000003,13
european climate foundation,europe,europe,convinced of agw,38,0,3,2,1,7.9,3
fondation ecologie davenir,france,europe,,38,2,0,2,0,5.3,2
maryland public policy institute,usa,north america,unconvinced of agw,37,15,1,16,0,43.2,16
civitas,uk,europe,,36,11,7,12,6,50,18
macdonald-laurier institute,canada,north america,unconvinced of agw,36,6,3,7,2,25,9
bruges group,uk,europe,unconvinced of agw,35,11,9,16,4,57.099999999999987,20
environmental literacy council,usa,north america,unconvinced of agw,34,23,2,23,2,73.5,25
western economic association international,usa,north america,,34,11,11,13,9,64.7,22
center for medicine in the public interest,usa,north america,unconvinced of agw,34,3,10,3,10,38.200000000000003,13
national taxpayers union,usa,north america,unconvinced of agw,34,11,0,11,0,32.4,11
the national leadership network of black conservatives,usa,north america,unconvinced of agw,34,5,1,5,1,17.600000000000001,6
friedrich-naumann-stiftung für die freiheit,germany,europe,unconvinced of agw,34,5,1,5,1,17.600000000000001,6
state policy network,usa,north america,unconvinced of agw,34,5,0,5,0,14.7,5
american institute for technology and science education,usa,north america,unconvinced of agw,34,0,0,0,0,0,0
independence institute,usa,north america,unconvinced of agw,33,7,1,8,0,24.2,8
itinera institute,belgium,europe,,33,3,1,4,0,12.1,4
berlin manhattan institut für unternehmerische freiheit e.v.,germany,europe,unconvinced of agw,32,7,25,25,7,100,32
james madison institute,usa,north america,unconvinced of agw,32,11,1,11,1,37.5,12
discovery institute,usa,north america,unconvinced of agw,31,9,1,9,1,32.299999999999997,10
illinois policy institute,usa,north america,unconvinced of agw,31,7,1,7,1,25.8,8
australian petroleum production and exploration association,australia,oceania,unconvinced of agw,31,0,1,0,1,3.2,1
institucion futuro,spain,europe,unconvinced of agw,31,0,0,0,0,0,0
mackinac center for public policy,usa,north america,unconvinced of agw,30,6,0,6,0,20,6
hayek institut,austria,europe,unconvinced of agw,29,2,27,17,12,100,29
foundation for individual rights in education,usa,north america,,29,19,5,19,5,82.8,24
libera!,belgium,europe,,29,17,5,19,3,75.900000000000006,22
center for a stateless society,usa,north america,,29,6,1,6,1,24.1,7
fondation pour linnovation politique,france,europe,,29,2,0,2,0,6.9,2
national caucus of labor committees,usa,north america,unconvinced of agw,29,0,0,0,0,0,0
committee on taxation and economic growth,usa,north america,,28,19,1,19,1,71.399999999999991,20
national right to work committee,usa,north america,,28,4,0,4,0,14.3,4
scientific alliance,uk,europe,unconvinced of agw,27,9,8,10,7,63,17
commonwealth foundation for public policy alternatives,usa,north america,unconvinced of agw,27,8,1,8,1,33.299999999999997,9
bill of rights institute,usa,north america,,27,7,0,7,0,25.9,7
ludwig von mises institute europe,belgium,europe,,26,9,37,30,16,176.9,46
association of private enterprise education,usa,north america,,26,19,3,19,3,84.6,22
public interest institute,usa,north america,unconvinced of agw,26,19,2,19,2,80.800000000000011,21
istituto bruno leoni,italy,europe,unconvinced of agw,26,0,15,10,5,57.7,15
international council for capital formation,usa,north america,unconvinced of agw,26,8,5,8,5,50,13
international council for capital formation,europe,europe,unconvinced of agw,26,8,5,8,5,50,13
statistical assessment service,usa,north america,unconvinced of agw,26,12,1,12,1,50,13
campaign against climate change,uk,europe,convinced of agw,26,1,2,3,0,11.5,3
institut turgot,france,europe,unconvinced of agw,25,4,34,14,24,152,38
institute for policy innovation,usa,north america,unconvinced of agw,25,18,1,18,1,76,19
john william pope center for higher education policy,usa,north america,unconvinced of agw,25,13,1,13,1,56.000000000000007,14
sut verlags gmbh,germany,europe,unconvinced of agw,25,3,1,3,1,16,4
open europe,uk,europe,,25,1,2,3,0,12,3
liberales institut,switzerland,europe,unconvinced of agw,24,11,38,35,14,204.2,49
american civil rights union,usa,north america,unconvinced of agw,24,24,1,24,1,104.2,25
insitute for energy research,usa,north america,unconvinced of agw,24,16,2,16,2,75,18
american tradition institute,usa,north america,unconvinced of agw,24,17,1,17,1,75,18
national center for public policy research,usa,north america,unconvinced of agw,24,12,1,12,1,54.2,13
liberty league,uk,europe,,24,6,6,6,6,50,12
open klimaat,belgium,europe,unconvinced of agw,24,0,3,2,1,12.5,3
the galileo movement,australia,oceania,unconvinced of agw,23,3,17,4,16,87,20
economic policy centre,uk,europe,,23,11,2,11,2,56.499999999999993,13
clare boothe luce policy institute,usa,north america,unconvinced of agw,23,10,0,10,0,43.5,10
atlas society,usa,north america,,23,4,3,4,3,30.4,7
climate communication,usa,north america,convinced of agw,23,0,0,0,0,0,0
institute for research in economics and fiscal issues,france,europe,unconvinced of agw,22,5,21,21,5,118.2,26
defenders of property rights,usa,north america,unconvinced of agw,22,19,0,19,0,86.4,19
société eur ingénieurs et industriels,france,europe,,22,0,2,1,1,9.1,2
instituto de libre empresa,peru,south america,unconvinced of agw,21,0,34,0,34,161.9,34
"environmental conservation organization, inc.",usa,north america,unconvinced of agw,21,26,2,26,2,133.30000000000001,28
niskanen center,usa,north america,convinced of agw,21,14,5,14,5,90.5,19
imani,unknown,unknown,unconvinced of agw,21,0,13,0,13,61.9,13
jerusalem institute for market studies,israel,asia,unconvinced of agw,21,0,12,0,12,57.099999999999987,12
opinio,unknown,unknown,,21,0,5,0,5,23.8,5
young americans for liberty,usa,north america,,21,5,0,5,0,23.8,5
institut thomas more,france,europe,,21,2,0,2,0,9.5,2
liberty alliance,usa,north america,unconvinced of agw,21,0,0,0,0,0,0
institut constant de rebecque,switzerland,europe,,20,11,44,39,16,275,55
john locke institute,usa,north america,,20,12,6,12,6,90,18
citizens for a sound economy,usa,north america,unconvinced of agw,20,12,1,12,1,65,13
institute for global economic growth,usa,north america,unconvinced of agw,20,8,1,8,1,45,9
kansas policy institute,usa,north america,unconvinced of agw,20,3,0,3,0,15,3
taxpayers alliance,uk,europe,,20,3,0,3,0,15,3
minnesota state cattlements association,usa,north america,,20,0,1,0,1,5,1
finnish business and policy forum,finland,europe,,20,0,0,0,0,0,0
nevada policy research institute,usa,north america,unconvinced of agw,20,0,0,0,0,0,0
the libertarian alliance,uk,europe,unconvinced of agw,19,8,5,9,4,68.400000000000006,13
tennessee center for policy research,usa,north america,unconvinced of agw,19,4,0,4,0,21.1,4
campaign for liberty,usa,north america,,19,3,0,3,0,15.8,3
spinwatch,europe,europe,convinced of agw,19,0,3,3,0,15.8,3
global humanitarian forum,switzerland,europe,convinced of agw,19,0,1,1,0,5.3,1
cathay institute for public affairs,china,asia,unconvinced of agw,19,0,0,0,0,0,0
centre for policy studies,uk,europe,unconvinced of agw,19,0,0,0,0,0,0
forces,usa,north america,,18,5,21,6,20,144.4,26
russell kirk center for cultural renewal,usa,north america,,18,12,5,12,5,94.399999999999991,17
mannkal economic research foundation,australia,oceania,unconvinced of agw,18,11,2,10,3,72.2,13
buckeye institute for public policy solutions,usa,north america,unconvinced of agw,18,4,1,4,1,27.8,5
hausgeld-vergleich,germany,europe,unconvinced of agw,18,2,1,2,1,16.7,3
congress of racial equality,usa,north america,unconvinced of agw,18,2,0,2,0,11.1,2
david horowitz freedom center,usa,north america,unconvinced of agw,18,1,0,1,0,5.6000000000000014,1
bluegrass institute for public policy,usa,north america,unconvinced of agw,18,0,0,0,0,0,0
terra reversa,belgium,europe,convinced of agw,18,0,0,0,0,0,0
murray rothbard instituut,belgium,europe,unconvinced of agw,17,9,21,22,8,176.5,30
independent commission on environmental education,usa,north america,unconvinced of agw,17,24,2,24,2,152.9,26
democracy institute,usa,north america,unconvinced of agw,17,2,6,3,5,47.099999999999987,8
liberty fund,usa,north america,,17,6,2,6,2,47.099999999999987,8
center for european renewal,netherlands,europe,,17,0,5,3,2,29.4,5
american conservative union,usa,north america,unconvinced of agw,17,4,0,4,0,23.5,4
propublica,usa,north america,,17,2,0,2,0,11.8,2
berkeley earth surface temperature study,usa,north america,convinced of agw,17,0,1,0,1,5.8999999999999986,1
corporate europe observatory,belgium,europe,convinced of agw,17,0,1,1,0,5.8999999999999986,1
the association of british drivers,uk,europe,unconvinced of agw,17,0,0,0,0,0,0
liberal alliance,denmark,europe,,17,0,0,0,0,0,0
freedom21,usa,north america,unconvinced of agw,16,26,2,26,2,175,28
the bastiat society,usa,north america,unconvinced of agw,16,16,11,16,11,168.8,27
hispanic leadership fund,usa,north america,unconvinced of agw,16,7,0,7,0,43.8,7
global climate science communications team,usa,north america,unconvinced of agw,16,6,1,6,1,43.8,7
institut de formation politique,france,europe,,16,3,3,6,0,37.5,6
stichting meer vrijheid,netherlands,europe,unconvinced of agw,16,1,5,5,1,37.5,6
european enterprise institute,europe,europe,unconvinced of agw,16,0,6,4,2,37.5,6
southern economic association,usa,north america,,16,5,0,5,0,31.2,5
ratio institute,sweden,europe,,16,0,4,1,3,25,4
west coast climate equity association,usa,north america,convinced of agw,16,1,0,1,0,6.2,1
argusoog,netherlands,europe,unconvinced of agw,16,0,0,0,0,0,0
federated farmers of new zealand,new zealand,oceania,unconvinced of agw,16,0,0,0,0,0,0
center for media and democracy,usa,north america,convinced of agw,16,0,0,0,0,0,0
institut economique molinari,france,europe,,15,4,17,12,9,140,21
social affairs unit,uk,europe,unconvinced of agw,15,2,16,6,12,120,18
institut hayek,belgium,europe,unconvinced of agw,15,0,14,9,5,93.300000000000011,14
clingendael institute,netherlands,europe,,15,1,5,3,3,40,6
legatum institute,usa,north america,unconvinced of agw,15,0,3,0,3,20,3
center for energy and economic development,usa,north america,unconvinced of agw,15,1,0,1,0,6.7,1
center for politiske studier,denmark,europe,unconvinced of agw,15,0,0,0,0,0,0
international access corporation,japan,asia,unconvinced of agw,15,0,0,0,0,0,0
the free society,uk,europe,unconvinced of agw,14,6,3,6,3,64.3,9
free congress foundation,usa,north america,,14,6,0,6,0,42.9,6
americans for tax reform,usa,north america,unconvinced of agw,14,5,0,5,0,35.700000000000003,5
climate science coalition of america,usa,north america,unconvinced of agw,14,3,0,3,0,21.4,3
center for american freedom,usa,north america,,14,2,0,2,0,14.3,2
rio grande foundation,usa,north america,unconvinced of agw,14,0,0,0,0,0,0
georgia public policy foundation,usa,north america,unconvinced of agw,14,0,0,0,0,0,0
grassroot institute of hawaii,usa,north america,unconvinced of agw,14,0,0,0,0,0,0
national tax limitation committee,usa,north america,,13,15,3,15,3,138.5,18
campaign for fighting diseases,uk,europe,,13,2,10,4,8,92.300000000000011,12
nova civitas,belgium,europe,unconvinced of agw,13,9,2,10,1,84.6,11
center for the defense of free enterprise,usa,north america,unconvinced of agw,13,10,0,10,0,76.900000000000006,10
europe of freedom democracy,europe,europe,,13,0,7,5,2,53.8,7
repeal the act!,uk,europe,unconvinced of agw,13,0,3,0,3,23.1,3
"weidenbaum center on the economy, government, and public policy",usa,north america,unconvinced of agw,13,1,2,1,2,23.1,3
instituto liberdade,brazil,south america,unconvinced of agw,13,0,2,0,2,15.4,2
institute for the study of earth and man,usa,north america,unconvinced of agw,13,2,0,2,0,15.4,2
the pioneer institute for public policy,usa,north america,unconvinced of agw,13,1,0,1,0,7.7,1
klima-initiative,germany,europe,convinced of agw,13,0,1,0,1,7.7,1
canadian society of petroleum geologists,canada,north america,unconvinced of agw,13,0,0,0,0,0,0
mdr,germany,europe,,13,0,0,0,0,0,0
mississippi center for public policy,usa,north america,,13,0,0,0,0,0,0
advocates for self-government,usa,north america,,13,0,0,0,0,0,0
responsible resources,usa,north america,unconvinced of agw,12,8,1,8,1,75,9
fundacion burke,spain,europe,,12,0,8,1,7,66.7,8
australian libertarian society,australia,oceania,unconvinced of agw,12,6,1,5,2,58.3,7
apco worldwide,usa,north america,unconvinced of agw,12,3,1,4,0,33.299999999999997,4
deutsche meteorologische gesellschaft,germany,europe,convinced of agw,12,2,0,2,0,16.7,2
institut der deutschen wirtschaft,germany,europe,,12,1,0,1,0,8.3000000000000007,1
the international coalition against prohibition,usa,north america,,12,0,1,0,1,8.3000000000000007,1
european students for liberty,europe,europe,,12,0,1,1,0,8.3000000000000007,1
anthroposophische gesellschaft hannover,germany,europe,unconvinced of agw,12,0,0,0,0,0,0
american family association,usa,north america,unconvinced of agw,12,0,0,0,0,0,0
public opinion strategies,usa,north america,,12,0,0,0,0,0,0
vlaamse volksbeweging kempen maasland,netherlands,europe,,12,0,0,0,0,0,0
sovereignty international,usa,north america,unconvinced of agw,11,19,1,19,1,181.8,20
the global warming policy foundation,uk,europe,unconvinced of agw,11,2,10,8,4,109.1,12
phillips foundation,usa,north america,unconvinced of agw,11,11,0,11,0,100,11
res publica,belgium,europe,,11,7,2,8,1,81.8,9
friedrich a. von hayek-gesellschaft e. v.,germany,europe,unconvinced of agw,11,0,8,6,2,72.7,8
foundation for research on economics and the environment,usa,north america,unconvinced of agw,11,6,1,6,1,63.6,7
libertäre plattform,germany,europe,unconvinced of agw,11,4,0,4,0,36.4,4
liberty institute,india,asia,unconvinced of agw,11,0,4,0,4,36.4,4
u.s. chamber of commerce foundation,usa,north america,,11,1,1,1,1,18.2,2
european ideas network,belgium,europe,,11,1,1,2,0,18.2,2
partnership for the west,usa,north america,unconvinced of agw,11,1,0,1,0,9.1,1
